Name,Mean,Std
nad,-0.04289231611123538,0.04559239124269986
folinic_acid,0.21586778600421472,0.05859893436608871
coa,-0.29412849771899136,0.08396971446087906
nucleo_mix,-0.8272337512946593,0.43063962706605485
spermidin,-1.7924890218320104,0.08208190924321528
pga,-1.4698267389149613,0.29950922257698454
aa,0.5128174239562736,0.03161839064941238
trna,-0.033217990301777064,0.09580108273103971
mg_gluta,0.779348410076175,0.1643669313577566
camp,-0.5093552751365533,0.1763578502359862
K_gluta,1.4979400820877355,0.2559648480814269
intercept,1.2254930039982832,0.21240060168657302
